sSFR,logMstar,age,logMhalo,vlos_sigma,r_rvir
-10.06263,9.955717,1.34232,13.66469,2.3211902750728384,0.3661890088420569
-11.47615,10.32656,8.139544,14.35545,2.3201753426727567,0.3065898649696024
-9.474404,9.420944,0.2798841,14.31559,2.319539228684505,0.7180711670655798
-9.72092,9.599625,0.5646448,14.52893,2.3172062225099332,0.5474289333626046
-12.27088,11.1104,10.80973,13.96917,2.315354937383705,0.40715262010460085
-9.966858,10.95002,2.982616,13.42723,2.3152839619832144,1.4523526285595627
-10.62643,10.8536,3.615998,14.07328,2.313213195643245,0.05145157623366091
-10.6712,10.25123,2.816199,13.76422,2.3129224029678883,0.8227256364005929
-12.04694,11.16326,8.926417,14.3209,2.3035746044743988,0.2894218318483765
-9.510446,9.506515,0.3973391,13.5979,2.299524881164521,0.25294020730460404
-12.17985,10.88961,7.609966,14.39986,2.2994894982396756,0.09366982197019433
-11.69091,10.36148,7.046128,14.31559,2.2988909400071864,0.6599489614023906
-10.38926,10.93676,5.558966,13.74181,2.2895187386408247,1.570372134040264
-11.76071,10.2661,1.343677,13.54758,2.285896971050867,0.30190991914532883
-12.25206,10.9036,9.490534,14.09246,2.283278689933225,0.2052785282725214
-11.84546,10.45588,8.007679,13.98834,2.2812501790904154,1.2993388687248557
-11.53991,10.0561,3.552068,14.52893,2.2806191942185077,0.37225582802793417
-10.6805,10.50748,2.766604,14.23041,2.276277873568289,0.24602907063112064
-11.28367,10.32069,5.481274,13.74128,2.2750939232093326,0.8151061640218517
-11.30319,10.81136,7.914141,13.526,2.268811527090585,0.11184437576965009
-12.22574,10.53154,4.196018,14.05995,2.267557564786476,0.44804208927011047
-9.708027,10.12715,1.071352,13.78216,2.267424842060119,0.3542134075920432
-10.80021,10.50264,4.247177,13.64137,2.2672616576077953,0.24686570312070663
-10.07156,10.1965,1.62924,14.35545,2.2660219379324387,0.5763747055206259
-12.05281,10.74847,5.57502,13.4534,2.2624524832178357,0.06109488895685865
-12.19495,10.83629,9.812963,14.43986,2.261985056218608,0.3375854481673179
-11.39221,10.31731,3.518872,13.42025,2.2619215060224653,0.9696549348066634
-9.885729,9.91336,1.694618,13.67608,2.2614909882991916,0.8056529761796862
-11.50455,10.58881,3.578599,14.3209,2.2599015855607205,1.3497573420266769
-12.38911,11.19952,11.42793,13.6817,2.255961368600508,0.6302961483194898
-12.33551,10.90448,10.20183,14.43986,2.25526586436179,0.2949799935791526
-12.50211,11.24947,10.56228,14.43986,2.2545060136536277,0.3063848280074231
-9.794126,9.975623,1.003085,13.44845,2.251513688619068,0.8069486977911208
-9.924779,10.50194,1.881512,13.42723,2.250390779546335,1.201753428900253
-12.27474,10.83967,8.688817,13.59706,2.2494616895208286,0.481636024988417
-11.23311,10.059,4.921495,13.98834,2.2490757010588243,0.964448137134861
-10.53383,11.02192,2.633167,13.58947,2.2463640202973623,0.2953822212801599
-12.29076,11.14833,7.835351,14.31559,2.2458158736616354,0.6501787407251565
-12.23411,11.12091,10.70098,13.77629,2.240272706853239,0.6403306393778423
-11.89659,10.85441,8.824261,14.05995,2.2354909447303744,0.7021585796480256
-11.8197,11.40109,8.887395,14.15348,2.2328700092309326,0.2640546336471797
-11.17713,11.00044,2.177013,13.69692,2.2314004462152885,0.7047379238082311
-11.0335,10.61845,2.607835,13.53224,2.2306630521384183,0.19938239576882522
-12.08041,11.00071,6.518624,14.3209,2.2280228969045672,0.38959939502191476
-11.67944,10.40154,6.965363,14.22571,2.2271701701900395,0.10670568632118402
-10.16538,10.58279,2.659155,13.64137,2.2270804654510314,0.347035469799206
-12.04556,10.31011,7.337274,14.3209,2.2250852108019883,0.2532757949110254
-11.9494,10.46445,9.493302,14.1035,2.2224245554633404,0.9473335085703287
-10.48251,10.54769,2.597985,13.87227,2.2219122142916863,0.46957570966121626
-11.35811,10.26444,7.027332,13.89363,2.217284266329883,0.2178220319134242
-10.0255,9.810931,1.047651,13.74043,2.2162256181040516,0.5645042494645397
-11.81916,10.19756,10.56996,13.51436,2.215309348175374,0.15944835857854348
-12.09511,10.38378,5.690996,13.76422,2.2137512314943355,0.3576463443138563
-12.07727,11.08,9.657255,14.43986,2.2123110307057017,0.20382118723034398
-11.82759,10.12181,4.813194,13.92275,2.211572713905067,0.8723389453097178
-12.32773,10.86224,10.51062,13.51936,2.210226039237074,1.1521448227582134
-9.514246,9.278761,0.4030203,14.35545,2.2055078157496886,0.5055489027396163
-10.1299,10.11345,1.734787,13.52288,2.2054562888769262,0.8162007118665568
-10.19496,10.24378,2.22986,13.67516,2.202645332900688,0.4729445900006496
-9.177855,9.443907,0.5056605,14.31559,2.20170828172769,0.32630811714405683
-11.91524,10.41052,4.561233,13.44845,2.2006444165360297,0.7898116672875489
-10.4375,11.13593,5.478289,13.69692,2.2001349658229343,0.8215630500876704
-11.576,10.82186,4.49987,13.40856,2.1980508945177957,0.6322279241979643
-9.374731,9.228606,0.2085099,14.39986,2.1959922293604532,0.43415688324386015
-10.31667,9.809642,0.9501824,13.85342,2.195391894000665,1.0315709678977965
-10.71429,10.07889,1.611101,13.76254,2.192234199645272,0.6565100879441125
-10.51618,10.02911,1.750764,13.77994,2.1894735297139203,0.6835304108314074
-12.15114,10.41863,10.16455,13.53814,2.188357040578909,0.5724313593559909
-9.765563,10.34716,1.085472,13.76214,2.186505664585398,1.0853441868791807
-11.475,10.02948,5.760754,14.08823,2.1840880034812375,0.47292307641074044
-10.17982,10.00713,2.267466,13.67689,2.181244617636296,0.7297387616919032
-11.67455,11.04286,3.087272,13.57033,2.1812346434950913,0.15718457001668176
-11.6298,10.23765,2.997515,13.98834,2.181232824323355,0.32089851721473966
-12.08182,10.74955,6.207822,13.80938,2.1811959034945088,0.521235872809197
-12.08814,10.88473,11.24514,14.3209,2.1761383043747817,0.16095785857409056
-10.02435,10.74504,1.410982,14.10592,2.1758092943157066,0.2826216568579099
-9.734456,9.97882,0.8855931,13.52288,2.175739537042015,0.9874233864583604
-11.71089,10.33313,7.420883,13.90925,2.1719114900156997,0.7502873652158415
-12.00657,10.9606,10.60451,14.39986,2.171175309154273,0.2104234845087892
-12.14141,11.29397,11.1342,13.86176,2.166779033117238,1.1171888023513508
-9.736377,9.73956,1.039587,13.69648,2.166722944518755,0.5643061032100679
-9.504938,9.729313,0.5543317,13.62097,2.1655809985532417,0.7692902149346912
-10.025,9.789701,1.110595,13.74181,2.1625485168199012,0.8127488629629416
-11.75917,10.53468,4.306153,13.76823,2.162021171389448,0.9520067694969948
-12.41888,10.82554,4.073049,13.8654,2.1562899049481152,0.1011800481549886
-12.59302,10.85631,6.663929,13.69648,2.151962671249595,0.316506467585944
-10.97454,10.46825,8.096978,14.10293,2.1505318762856613,0.3025650127487667
-12.00693,10.81866,10.09004,13.67141,2.1498476181329615,0.5940189815699899
-12.35642,10.78913,12.03019,13.5281,2.1495079643842767,0.32789432394414975
-11.71723,10.52118,4.705796,13.59111,2.1490136576119485,0.26036571588870444
-9.965296,10.73165,2.127171,13.4309,2.148560713686302,1.1207213755116232
-11.43252,10.65854,4.701483,13.55853,2.146543332361981,0.25456726410577074
-11.64954,10.73413,8.428574,13.41165,2.1424902276254736,0.5269090915426579
-12.06753,10.74411,8.379734,14.13993,2.1401577052247536,0.14533721096238877
-12.25604,10.5638,10.20979,13.80938,2.1395158296862156,0.789671004370371
-11.85934,10.47096,3.990097,13.50471,2.135094040206634,0.6241195744382787
-10.33272,10.17447,2.786389,13.72528,2.1349179669421074,0.42513915259297586
-11.26259,10.57882,6.266918,14.52893,2.1337187457583173,0.5446165279252874
-11.07101,10.46898,5.199332,13.52502,2.1331300647951075,0.1948762576376238
-12.00909,11.68957,10.89067,13.91338,2.1287305087267936,0.03770364404366768
