bpt lgm_tot_p50 logM200_L RprojLW_Rvir sfr_tot_p50 color_gr zoo distance weights
1              1.850551919   0.8263701548 -0.926728155  -0.5947508722  0.566580721  E             0.6226210     1            
1              0.042894334   0.8263701548 -0.902456506  -0.5295460922  0.673667105  S             0.7140077     1            
0              2.096682716   0.8263701548 -0.952759449  -0.8044169883  1.002235095  E             0.5285883     1            
0              0.884129257  -0.9319046228 -0.571446067   0.0194609174  0.187743554  E             0.8057163     1            
0             -0.014863632  -0.5896375254 -1.018310510   0.8459578347 -0.383481888  S             0.9306043     1            
0              1.310477037  -0.8098831606 -0.998261641  -0.1884509261  1.030207501  E             0.7071276     1            
1              1.090541978  -0.8098831606 -0.928594327  -0.8152481141  0.933138434  E             0.5831948     1            
1              0.146737397  -0.9168674952 -0.919253634   0.4009559917  0.007878194  S             0.8815988     1            
0              0.374312879  -0.6369217042 -0.970501060  -1.1526182400  0.750676179  E             0.5513578     1            
0              1.497788698  -0.2976206457 -0.730607360  -0.6425621009  0.723489942  E             0.6182234     1            
0              0.095831557  -1.3211110108 -0.597061253  -0.5506358688  0.459793589  S             0.7201487     1            
0             -0.479716722  -1.3211110108 -0.729780775  -0.2258817414  0.223126238  S             0.8110340     1            
0              1.680916318  -0.4949312125 -0.960361912   0.3942322786  0.898699152  E             0.8050652     1            
0              1.650263665  -0.8649963027 -0.911164837  -0.4515938612  0.784354652  E             0.6504714     1            
0             -0.757409747   0.1516307862 -0.828576799  -0.6399432507  0.605676153  S             0.7299050     1            
1              0.999645189   0.1516307862 -0.778619614  -0.5374816928  0.618985236  S             0.6729141     1            
1             -0.156726899  -0.8584434260 -0.736455277  -1.1117468369  0.610195358  E             0.5985477     1            
0              1.406891909  -0.8584434260 -0.667984229  -0.2951238092  0.631508150  E             0.7051065     1            
0              0.967264345  -0.3595625751 -0.966292406  -0.8917226200  0.680910006  E             0.5889619     1            
1              0.493891576  -0.5952936927 -0.606526053  -1.1679615912  0.622277003  S             0.5506201     1            
0             -0.302228463  -0.5115893148 -1.014307999  -1.3163129526  1.827646779  E             0.4683105     1            
0              0.404450106  -0.9448034433 -0.974520798  -1.2710988991  0.633288443  E             0.5291585     1            
0              0.646669734  -1.1553922076 -0.952524821  -0.6891467795  0.776071979  E             0.6456461     1            
0              0.087220920  -0.5952936927 -0.920477847  -0.2907760589  0.822582761  S             0.7499729     1            
0             -0.180860936  -0.5952936927 -0.686899425  -0.5121423409  0.624133376  S             0.7298234     1            
0              0.474547963  -0.5858437547 -0.417284825  -0.2292047742  0.252863721  E             0.7762089     1            
0              0.836861714  -0.6857923690 -0.793927132  -0.3864337062  0.735591875  E             0.7049932     1            
1             -0.362654514  -0.0019479506 -0.976058352  -1.3887316831  0.709734518  S             0.5348818     1            
0              0.896226595   0.2750318014 -0.794113473  -0.3890140514  0.460102984  E             0.7183651     1            
0              0.940826053  -0.2266771331 -0.963697384   0.3862296130  0.432683433  E             0.8457991     1            
1             -0.954393215  -0.8927598066 -0.765229727  -1.0233753051  0.317557835  S             0.6770346     1            
0              2.101078992  -0.6284719421 -0.854370555  -0.4389637103  0.526364365  E             0.6487968     1            
0              2.269774700  -0.3763586328 -1.033925859  -0.5610360446  1.497095615  E             0.5435605     1            
0              0.972812748   1.6240276950 -0.795927047  -0.9768594765  0.892906861  E             0.5529311     1            
0             -0.245440709   1.6240276950 -0.642486054   0.0563140302  0.205368959  E             0.8444566     1            
1              0.810938848   1.6240276950 -0.934298722  -1.0853058849  0.664446102  S             0.5512864     1            
0              1.391611061   1.6240276950 -0.835034635  -0.7416079335  0.532481268  E             0.6134933     1            
1             -0.815076756   1.6240276950 -0.817727098  -1.3572736057  0.309472973  S             0.5945474     1            
0              0.861086709   1.6240276950 -0.687829552  -1.1007588860  0.639425634  E             0.5466886     1            
1              1.756107791   1.6240276950 -0.481358131  -0.5289085922  0.502870587  E             0.6466381     1            
0             -0.616395416   1.6240276950 -0.942844968  -0.7914884873  0.466960408  E             0.7015899     1            
0              1.681522700  -0.3948791317 -1.019584252  -0.8596410675  0.838590180  E             0.5485919     1            
