bpt lgm_tot_p50 sfr_tot_p50 color_gr type
0              0.8728505362  0.2393791818  0.2871559126 matched      
1              0.6413032462  1.8454428725 -0.9923876567 matched      
1              1.1368999467  0.8060547220  0.6049052001 matched      
1              1.3614738340 -0.2323428044  0.4925540186 matched      
1              0.0259156144  0.1510314925 -0.1415345239 matched      
1              1.2641797062 -0.8666816181  1.1190294003 matched      
1              0.1650804777 -0.8962195453  0.8919482416 matched      
0              0.7486633292 -0.7833794867  0.5620057241 matched      
1              1.3139334188  1.6298096284  0.1491401120 matched      
0              0.0881304944 -0.4200405413  0.5177722965 matched      
1             -0.1677024285 -0.3543109713  0.4213676689 matched      
0              0.5769660262 -0.4962583897  0.1008693254 matched      
0             -0.1947167843 -0.8713952934  0.5513188955 matched      
1              0.1826958994 -0.4140476584  0.4443643849 matched      
0              0.8952260632 -0.6772841786  0.6698224847 matched      
0              0.0298267837 -0.3644371496  0.4994925955 matched      
1              1.4135924396 -0.7824512866  0.6436760199 matched      
0              2.2068624795 -0.6903848046  0.7744996407 matched      
0              2.5692368686 -0.1805951405  0.0186664633 matched      
1             -0.8320251561 -0.9841932771  0.4621926727 matched      
1              1.0545531562  0.9439455363  0.9789289834 matched      
1              0.8306159709  0.0094489791  0.0014620388 matched      
1              0.1742065395 -0.6721153282  0.6536730485 matched      
0              1.3030488467 -0.7385237082  1.0525042729 matched      
1              0.3832267067 -1.5263743187  0.9235776023 matched      
0             -0.0369359677  0.3332545065 -0.4980799915 matched      
0             -0.5847119121  0.0690668362  0.2912947129 matched      
0              0.2906017269 -0.4686329625  0.3160565055 matched      
1             -0.5774049988 -0.5818198212  0.0338623524 matched      
0              2.3921427583 -0.3675784948  0.7193511419 matched      
1              0.5042910420  1.2131825640  0.0188541295 matched      
0             -0.4597667266  0.3403475870  0.1892499555 matched      
0             -0.8182602655  0.8427386627 -0.9061322194 matched      
1              1.7331865189 -0.4348888100  0.6594501238 matched      
0              0.0096039158 -0.7931536374  0.4464388571 matched      
1              0.8185489523 -1.0734687839  0.5577806988 matched      
0              0.5872745346 -0.9857207272  0.0732266032 matched      
1             -0.0098306544  0.3022944441  0.5252383675 matched      
0             -0.1647008334 -0.5621809947  0.5821164385 matched      
0              0.0165773185 -1.1739196666  0.6618948563 matched      
0             -0.0034636345 -0.5620993947  0.5132632360 matched      
0             -0.5090050137 -1.0746073590  0.5637048639 matched      
0              0.9421904147 -0.4028068750  0.5111126829 matched      
1              0.2558863089 -1.0850891348  0.7140254799 matched      
0              2.5158751781 -0.4747440380  0.6191779744 matched      
0             -0.4858411890 -0.6823829039  0.3525905473 matched      
1              1.5002142293 -0.6699758780  0.9040552467 matched      
0              1.7122056724 -0.5712819454  0.6855610841 matched      
1              0.0060262570  0.3468377200  0.1096997803 matched      
1              2.6487336598 -0.2370805773  0.5874573167 matched      
0              1.0059212519 -0.5631308698  0.5819592046 matched      
1              0.5804224084 -0.0607698663  0.0966493722 matched      
0              0.6701670697 -0.8265764900  0.6249144733 matched      
0             -0.7880017614  1.1363360131 -0.8499084441 matched      
0              3.2310127882 -0.4153319660  0.5261107617 matched      
0              1.0020707208 -0.7927685874  0.3663459716 matched      
0              0.8596010710 -0.5634355948  0.5989506027 matched      
0             -0.4506103456 -0.8062695634  0.2493842884 matched      
0              0.0462597589 -1.2619303734  0.7174998404 matched      
