"","AGN","lgm_tot_p50","sfr_tot_p50","color_gr","Galaxy","type"
"394","No",0.442743183122273,0.867143431922801,0.926357090648101,"S","Before PSM"
"395","No",1.58932218857067,-0.426167044288337,1.01008157047461,"S","Before PSM"
"396","No",0.83634628883481,1.32882545533889,0.3780928605125,"S","Before PSM"
"402","No",1.89208914386611,-0.719756981809915,0.672743990733754,"E","Before PSM"
"412","No",0.131365591405448,1.52993797826643,-1.12732471744778,"S","Before PSM"
"414","No",-0.100090741132646,0.715169055764695,0.455817094404903,"S","Before PSM"
"418","No",-1.87670152417361,1.20505112334404,-1.88273691393671,"S","Before PSM"
"421","No",0.141583142370257,0.753561335959805,0.695837075888544,"S","Before PSM"
"424","No",-1.10022828913292,1.05249544914134,-1.49285787381403,"S","Before PSM"
"425","No",0.433222972431028,1.76902408410697,-1.13183885006096,"S","Before PSM"
"431","No",0.432707547011436,1.84152925966891,-0.523815619421568,"S","Before PSM"
"438","No",-1.00893735158089,0.960972958620558,-0.929823807532905,"S","Before PSM"
"451","No",-0.182619446551651,1.04558137861095,-0.29423393559852,"S","Before PSM"
"460","No",-0.776723040484577,0.885016561793867,-1.20141735701316,"S","Before PSM"
"464","No",-0.0928141469737336,-1.13603686374316,0.464419306665483,"E","Before PSM"
"469","No",1.83099607207358,-0.441002435426375,0.558612516507275,"E","Before PSM"
"470","No",-0.191957742388925,-0.577496295896955,0.0135132512600551,"E","Before PSM"
"472","No",-1.68478135323227,0.80205783893002,-1.47607443019945,"S","Before PSM"
"476","No",0.980362214896635,1.93907913465206,-1.30609958510669,"S","Before PSM"
"479","No",0.815880867762872,-0.597254972412663,0.896330500681828,"S","Before PSM"
"487","No",-0.477988531118864,1.72770655843746,-1.3666650430099,"S","Before PSM"
"490","No",1.3510440490086,-0.501012865029835,0.476003889686264,"E","Before PSM"
"491","No",-0.715751245261354,-0.333009417142123,0.235162234625846,"S","Before PSM"
"492","No",0.0828549636793611,-1.40873770966231,0.698936104008369,"S","Before PSM"
"493","No",0.271500667249183,0.363116156258365,0.370520276252447,"S","Before PSM"
"495","Yes",-0.0613125580941026,-1.06321268315674,0.622195849584475,"E","Before PSM"
"497","No",-0.840059728809448,1.25610301976028,0.859806602988082,"S","Before PSM"
"511","No",-1.64418402165401,1.20435981829101,-1.0993015908323,"S","Before PSM"
"513","No",2.08103803885923,-0.435992960042093,0.702101068896723,"E","Before PSM"
"514","No",0.309702786583474,1.21237778390607,-0.215373560464154,"S","Before PSM"
"515","No",0.350876181865994,1.66370754602803,-0.418626185416488,"S","Before PSM"
"517","No",-2.23636235004905,1.07363214576276,-1.55095831098696,"S","Before PSM"
"526","Yes",-0.00276629425718384,-0.89529772027582,0.47400042633547,"S","Before PSM"
"528","No",0.268953859293563,1.42652386783343,-0.515801766018426,"S","Before PSM"
"530","Yes",0.675442600495844,0.391798685958631,0.587604406413882,"S","Before PSM"
"543","No",-0.68100550815254,0.407038889627722,-0.580642969756371,"S","Before PSM"
"565","No",-2.11775083334454,1.22351223226021,-2.12970054435005,"S","Before PSM"
"571","No",-0.0166524614437784,1.55586370275522,-1.23342712209375,"S","Before PSM"
"573","No",0.623627186255919,-1.0457987318209,0.370099295345807,"S","Before PSM"
"577","No",1.63901526284758,1.19510064008073,1.05367084651685,"E","Before PSM"
