"","AGN","lgm_tot_p50","sfr_tot_p50","color_gr","Galaxy","type"
"1536","No",0.884129257145007,0.0194609173962288,0.187743553951082,"E","Before PSM"
"1556","No",2.09765292885541,-0.46934823760081,0.715942718224067,"E","Before PSM"
"1561","No",1.23173822394475,-0.832122740429604,0.595121198023684,"E","Before PSM"
"1579","No",1.43627115809487,-0.837722540859171,1.30591956252897,"E","Before PSM"
"1612","No",1.53241315841951,0.857802680481263,0.610880085696853,"E","Before PSM"
"1622","No",0.498166575299325,-0.858111067423195,0.741926877074931,"E","Before PSM"
"1636","No",1.31047703657266,-0.188450926052897,1.03020750104658,"E","Before PSM"
"1638","No",1.12025473760174,-1.03869443127592,0.724184814287443,"E","Before PSM"
"1642","Yes",1.09054197811951,-0.815248114135135,0.933138433686068,"E","Before PSM"
"1674","No",0.374312878886161,-1.15261824001513,0.750676179049898,"E","Before PSM"
"1675","No",3.57298239457504,-0.145723122775204,0.934452096997091,"E","Before PSM"
"1692","No",0.63990856568649,-1.06395473321367,0.698611492224958,"E","Before PSM"
"1705","No",1.49778869788001,-0.642562100888218,0.723489942188559,"E","Before PSM"
"1714","No",2.4764602931115,-0.53650249275228,1.02307111387048,"E","Before PSM"
"1737","No",1.68091631754599,0.394232278645314,0.898699152288965,"E","Before PSM"
"1759","No",1.87765723211761,0.922628299679101,0.617945464045324,"E","Before PSM"
"1772","No",1.65026366465157,-0.451593861238854,0.784354651579624,"E","Before PSM"
"1811","Yes",-0.156726899002852,-1.11174683687985,0.610195357716212,"E","Before PSM"
"1814","No",0.939219138756443,0.891500766041277,0.645070836197291,"E","Before PSM"
"1818","No",1.40689190917826,-0.29512380923588,0.631508150121312,"E","Before PSM"
"1826","No",0.0426821000936971,1.3204526571966,-0.728949978305933,"E","Before PSM"
"1862","No",0.967264345410592,-0.89172262000157,0.680910005910386,"E","Before PSM"
"1904","No",-0.302228463038787,-1.31631295257232,1.82764677937004,"E","Before PSM"
"1910","No",1.92968488035384,-0.677150303541514,0.771796233208603,"E","Before PSM"
"1916","No",0.404450106360988,-1.2710988991039,0.633288442870993,"E","Before PSM"
"1919","No",0.954651582201808,-0.646277451173227,0.722779853912321,"E","Before PSM"
"1933","No",0.64666973442581,-0.689146779461775,0.776071979043314,"E","Before PSM"
"1945","No",2.66425706069611,-0.39263772921627,0.756666280865806,"E","Before PSM"
"1992","No",0.474547963425186,-0.229204774179165,0.252863720940392,"E","Before PSM"
"2006","No",0.836861714254402,-0.386433706240353,0.735591875239156,"E","Before PSM"
"2021","No",1.81177373583711,-0.566880645082618,0.841258082801145,"E","Before PSM"
"2054","No",0.774828749049668,-0.573833220615957,0.528585926541028,"E","Before PSM"
"2067","No",0.0288262520494301,-0.778950136350681,0.408378125493673,"E","Before PSM"
"2080","No",0.8962265949342,-0.389014051438294,0.460102984357848,"E","Before PSM"
"2106","No",1.2793695965433,-0.737688583185466,0.86122677954054,"E","Before PSM"
"2118","No",0.940826053299874,0.386229613031422,0.432683432777189,"E","Before PSM"
"2135","No",1.88544925169611,-0.726421407321149,0.871411474245303,"E","Before PSM"
"2136","No",-0.543023091414155,-1.40549920941389,0.608273047311283,"E","Before PSM"
"2169","No",2.10107899193856,-0.438963710269982,0.526364364648259,"E","Before PSM"
"2191","No",-0.6585390236869,-1.01902372976697,0.478017497155283,"E","Before PSM"
"2197","No",2.26977469985603,-0.561036044634273,1.49709561472631,"E","Before PSM"
"2222","No",0.972812748456763,-0.976859476532504,0.892906860778593,"E","Before PSM"
"2223","No",-0.245440709456937,0.0563140302232678,0.205368959378928,"E","Before PSM"
"2225","No",1.39161106144454,-0.741607933486123,0.532481267942051,"E","Before PSM"
"2238","No",0.861086708975115,-1.10075888603695,0.639425634401278,"E","Before PSM"
"2240","Yes",1.75610779052143,-0.528908592169744,0.502870586823305,"E","Before PSM"
"2249","No",-0.616395415849858,-0.79148848731251,0.466960408282577,"E","Before PSM"
"2251","No",1.82696362614385,0.75139221654341,0.862870126694095,"E","Before PSM"
"2259","No",1.68152270039257,-0.859641067540563,0.838590179706157,"E","Before PSM"
"2265","No",2.02528113611656,-0.621224974251426,0.688005816613575,"E","Before PSM"
"2307","Yes",2.69384854360902,-0.718605656721595,0.903781355523118,"E","Before PSM"
"2314","No",1.38084776591781,-0.686405529251491,0.909862754403088,"E","Before PSM"
"2315","No",2.58773154545821,-0.404793325148738,0.811469879613339,"E","Before PSM"
"2317","No",-0.0877205310624934,-0.75914683483155,0.446093957079668,"E","Before PSM"
"2322","No",1.31523714191828,0.890601151472266,0.642402933102312,"E","Before PSM"
"2327","No",0.388168726930423,-1.22290262040672,0.587452244640438,"E","Before PSM"
"2328","No",1.46070838681188,-0.734517657942221,0.810546764854238,"E","Before PSM"
"2358","No",2.24861193851053,-0.538755417925104,0.742256560917462,"E","Before PSM"
"2379","No",-0.038512563062843,-1.18530031752221,0.621708931909351,"E","Before PSM"
"2389","No",1.30717225005882,-0.648116001314264,0.537959091787247,"E","Before PSM"
"2392","No",1.22194514097255,-0.82434778983318,0.594375605333652,"E","Before PSM"
"2426","No",0.470909666345732,-0.843884616331869,0.39988749853364,"E","Before PSM"
"2472","No",1.1930509983332,-0.58710214663383,-0.0229447096651966,"E","Before PSM"
"2478","No",1.16703717421508,-0.559307144501647,0.689826685836197,"E","Before PSM"
"2494","No",0.406966595174281,-0.949664999446388,0.788934720961288,"E","Before PSM"
"2506","No",0.757334603925947,-0.872977568563619,0.561650679917718,"E","Before PSM"
"2527","No",1.1392648398419,-0.728758482500429,0.618295436124331,"E","Before PSM"
"2567","No",0.201038980477043,-0.619700074134449,0.495262498149413,"E","Before PSM"
"2583","No",2.97521018442033,-0.573636870600895,1.29785498853467,"E","Before PSM"
"2591","No",0.209710255183081,-0.85564904223433,0.655666367690432,"E","Before PSM"
"2595","Yes",0.7826510877705,-0.69606110499218,0.827639604074905,"E","Before PSM"
"2608","Yes",2.7270783236014,-0.586788496609769,0.646014239192849,"E","Before PSM"
"2616","No",1.41607860930388,-0.841082166116891,0.516057940524698,"E","Before PSM"
"2663","No",2.73317247120949,0.0407688465307813,0.863499062024458,"E","Before PSM"
"2665","No",2.69127141651108,0.0168300821944147,0.442726109826712,"E","Before PSM"
"2666","No",1.46289136505956,-0.572839995539766,0.716135456470472,"E","Before PSM"
"2745","No",0.452445308667489,-1.01574442951541,0.747993059777574,"E","Before PSM"
"2749","No",1.34582915652805,-0.151130015689972,0.53701568879167,"E","Before PSM"
"2758","No",1.53890145487787,-0.698603455187207,0.320484413073862,"E","Before PSM"
"2771","Yes",0.0738198592653747,-0.724941132207596,0.582035285504624,"E","Before PSM"
"2777","No",0.770068643704043,-0.0938037162924144,0.460204425540171,"E","Before PSM"
"2791","No",-0.228856138603078,-0.637717100516553,0.359762438867582,"E","Before PSM"
"2837","No",2.70797726393424,-0.560385794584392,0.765897428456777,"E","Before PSM"
"2839","No",1.98207635829801,-0.844242891359353,0.982890261554167,"E","Before PSM"
"2845","No",0.934640948264795,-0.53379949254493,0.50514286930724,"E","Before PSM"
"2866","No",0.18860813212223,-1.30937695204025,0.850702256874996,"E","Before PSM"
"2870","No",-0.708353374533126,-1.03239083079237,0.646957642188425,"E","Before PSM"
"2880","No",-0.536080007820858,-0.933147373179305,0.710530831147374,"E","Before PSM"
"2896","No",1.58580516806053,-0.873558968608219,0.840096581263603,"E","Before PSM"
"2903","No",-0.356499727807344,-1.13423911360525,0.672419378950335,"E","Before PSM"
"2906","No",1.96264178806524,-0.573780945611947,0.600451932154529,"E","Before PSM"
"2916","No",1.0542196456096,-0.631909475071045,0.755738094047593,"E","Before PSM"
"2924","No",1.92289339247218,-0.888319644740525,0.837885163489076,"E","Before PSM"
"2938","No",-0.435844923281827,-0.538018467868572,0.338819906777928,"E","Before PSM"
"2986","No",2.86645542088691,-0.577489920896466,0.980136133454192,"E","Before PSM"
"3011","No",-0.431751839067438,-1.26018362326658,0.61868091261715,"E","Before PSM"
"3041","No",3.0731713332847,-0.0794278351896263,0.73696640325956,"E","Before PSM"
"3074","No",-8.76712986298742,-2.53975204642355,0.283777921251945,"E","Before PSM"
"3076","No",5.4326373084546,0.810779872349096,0.992324291509767,"E","Before PSM"
"3078","No",4.0704892010484,0.174407216782314,0.718925088984231,"E","Before PSM"
"3079","Yes",0.0125751917611921,-0.798555812854652,0.537806930013775,"E","Before PSM"
"3105","Yes",1.71936099001892,-0.571974270473355,0.517828089156155,"E","Before PSM"
"3141","No",2.31155447798513,-0.64434582602505,0.938195276624642,"E","Before PSM"
"3155","No",0.824915972176853,-0.789319712146141,0.689973775550548,"E","Before PSM"
"3167","No",1.65653972711364,-0.638329100563501,0.632289247225174,"E","Before PSM"
"3185","No",0.861996283244983,-1.04225805654929,0.923572530193463,"E","Before PSM"
"3255","No",1.2867371481292,-1.03514993100402,0.698368033387405,"E","Before PSM"
"3267","Yes",-0.339157178395273,-1.06485743328292,0.249252414849855,"E","Before PSM"
"3269","No",-0.643227856810852,-1.24749737229341,0.417796939271954,"E","Before PSM"
"3273","No",1.65065781350184,-0.840034116036494,0.832889185259875,"E","Before PSM"
"3275","No",-0.472803957780641,-0.159800398855086,0.473498292483018,"E","Before PSM"
"3286","No",2.37513371944863,-0.306337562596098,0.669797124387411,"E","Before PSM"
"3345","No",2.25158321445875,-0.696596605033259,0.640490766815626,"E","Before PSM"
"3394","No",2.34469330055051,-0.473044462884351,1.029832168672,"E","Before PSM"
"3448","No",1.54924028241199,-0.578317395959943,0.886582003061015,"E","Before PSM"
"3475","Yes",0.197218768543613,-1.24541784713388,0.503256063316124,"E","Before PSM"
"3479","Yes",2.30518745809608,-0.608074623242649,0.686200163568297,"E","Before PSM"
"3500","No",2.76258203926842,-0.0135947351395034,0.892693834295703,"E","Before PSM"
"3522","No",0.53685380091088,-1.0719018088233,0.740587853468339,"E","Before PSM"
"3533","No",1.74886151550485,-0.567232545109613,0.745462102278732,"E","Before PSM"
"3550","No",0.285477791862761,0.0157694096130495,0.603444447032918,"E","Before PSM"
"3575","No",-0.37875397827669,-0.73866268326019,0.317106421702655,"E","Before PSM"
"3579","No",2.29600075797045,-0.275894257760762,0.40288001341202,"E","Before PSM"
"3604","No",1.42899456393595,0.389059348248494,0.737285942983867,"E","Before PSM"
"3613","No",1.42108126778814,0.307284666975476,0.689801325540592,"E","Before PSM"
"3621","No",0.617745272644132,0.10100061615122,0.476049538218309,"E","Before PSM"
"3623","Yes",0.910719144967369,-0.807865863568835,0.634252134103026,"E","Before PSM"
"3625","No",0.447412331040904,-0.695279529932225,0.617372321365231,"E","Before PSM"
"3626","No",3.18125907568689,-0.207221222492785,0.669371071421668,"E","Before PSM"
"3638","Yes",0.604041020311509,-0.75172378426212,0.520135876053893,"E","Before PSM"
"3640","Yes",1.24853502879491,-0.835417340682336,0.539090160970098,"E","Before PSM"
"3649","No",0.304275660106619,-0.446017010811048,0.552018839656583,"E","Before PSM"
