"bpt","lgm_tot_p50","logM200_L","RprojLW_Rvir","sfr_tot_p50","color_gr","zoo","distance","weights"
1,1.884721592,-0.845751538,-0.980644138,-0.644463126,0.54945745,"E",0.75368294,1
1,2.247186939,-0.402225251,-0.960076579,-0.6976421051,0.77473296,"E",0.78351007,1
1,1.39624989,-0.402225251,-0.763320311,-0.7718012108,0.84353544,"E",0.80586209,1
0,0.131365591,0.443578688,-0.654063406,-0.9123788966,0.6657902,"E",0.78116678,1
1,2.265044914,0.800882913,-0.951307557,-0.1745272875,0.26085221,"E",0.75551219,1
1,0.840014905,-0.441508023,-0.776699173,-0.957214275,0.50706518,"E",0.72071498,1
1,-0.251504538,-0.441508023,-0.307850638,-1.4767360149,0.8327776,"E",0.7387318,1
1,-0.48120236,2.298146265,-0.966026702,-1.3808636575,0.76389397,"E",0.74515271,1
0,0.158137394,2.298146265,-0.825051612,-0.774975961,0.39043318,"E",0.74327942,1
1,0.696605362,0.951840499,-0.771319755,-0.8126815389,0.35970157,"E",0.7148226,1
0,0.015485829,2.298146265,-0.78391343,-1.5202186182,0.76938701,"E",0.7089252,1
1,-0.545569899,0.951840499,-0.66709612,-1.1810838922,0.4020482,"E",0.69597941,1
1,-0.487175231,1.63561594,-1.008163239,-0.7526137343,0.33501079,"E",0.75176085,1
0,0.629691015,0.644441604,-0.774733439,-0.7292888825,0.49586607,"E",0.7612514,1
0,-0.305442292,0.644441604,-0.748558778,-1.1616006157,0.64643522,"E",0.74987778,1
