bpt lgm_tot_p50 sfr_tot_p50 color_gr zoo RprojLW_Rvir logM200_L groupID distance weights
1            -0.224096033 -0.958002225  0.787692066 S            1.21537536   14.29510      141         0.47420846   1           
1            -0.778269317 -0.695246380  0.312110443 S            1.71875625   14.29510      141         0.71620018   1           
0            -0.057371070 -0.811957339  0.637056983 S            0.49730403   14.29510      141         0.48548699   1           
1            -0.474653425 -1.013130679  0.449745840 S            1.25307108   14.29510      141         0.53435442   1           
1             0.162594308 -0.092623194  0.160810920 S            0.49143104   14.29510      141         0.68422552   1           
0             1.088631872  1.457234668  0.432997900 S            7.01746988   14.28417       59         0.86915107   1           
0             0.859419156  1.415431877 -0.097346745 S            2.86434640   14.28417       59         0.89635056   1           
1            -0.216637524 -1.334507204  0.533424671 S            3.47971056   14.28417       59         0.35467308   1           
0             0.173266646 -0.688402179  1.032743531 S            1.69525329   14.28417       59         0.45248871   1           
1             0.123816125  0.114907425  0.532582709 S            0.76091484   14.28417       59         0.74088876   1           
0             1.458191898 -0.900282971  0.765303998 S            0.69778220   14.28417       59         0.13836302   1           
0            -0.138596052 -1.332120404  0.748779229 S            0.67804849   14.28417       59         0.32964020   1           
0             1.102457401 -0.465558937  0.775666214 S            0.67231727   14.28417       59         0.30080576   1           
1             0.373160751 -0.743114984  0.752989038 S            0.73920654   14.28417       59         0.39130131   1           
0             1.206573336  1.006835911  0.524984765 S            2.52145339   14.28070       30         0.75534936   1           
0            -0.135594457 -0.821314565  0.420206167 S            0.56902458   14.28070       30         0.51097356   1           
0             1.400858400  1.446028947  1.368326178 S            0.67059322   14.28070       30         0.80361268   1           
0             0.301607576 -0.925399198  0.555767091 S            1.69368676   14.27083       34         0.35657363   1           
1            -0.062191813 -1.082400160  0.231885684 S            0.90817780   14.27083       34         0.40824348   1           
1             0.018002318 -0.202481537 -0.310576110 S            0.64448199   14.27083       34         0.69911623   1           
1             1.207695144  0.410892705  0.462015151 S            0.21344444   14.26065       95         0.57604262   1           
0            -1.078337868 -0.597975347 -1.229790456 S            0.92884168   14.26065       95         0.83244214   1           
1             0.648185692 -0.940055324  0.518005611 S            1.01272037   14.26065       95         0.27329284   1           
1             0.427037867  1.833877092 -1.325003149 S            4.60701887   14.25922      126         0.96703441   1           
0             0.646245266 -1.223955770  0.676132126 S            5.50822569   14.25922      126         0.19891201   1           
1            -0.391700252 -1.228947396  0.511386574 S            3.58686977   14.25922      126         0.43526539   1           
0             1.589322189 -0.426167044  1.010081570 S            0.41873350   14.25922      126         0.20658618   1           
0             0.442743183  0.867143432  0.926357091 S            0.24854199   14.25922      126         0.84519977   1           
1             0.005632108  0.631421312  0.503179982 S            5.14807469   14.25411      159         0.86989084   1           
0            -0.681733168  1.053790849 -0.566370195 S            2.21546331   14.25411      159         0.96702943   1           
1             0.271652263 -0.490556589  0.640830595 S            0.66834576   14.25411      159         0.50860288   1           
0             0.242212376 -1.049762707  0.580310785 S            0.01758196   14.25411      159         0.33119359   1           
