bpt lgm_tot_p50 logM200_L RprojLW_Rvir sfr_tot_p50 color_gr zoo distance weights
0             -0.487448104   0.158390596  -0.5640814788 -1.350169305   0.540916102  S             0.41819859    1            
0              0.405026170   0.158390596  -0.5635488024 -0.086843108   0.528367828  S             0.61497686    1            
0              0.766339389  -0.419366197  -0.5591758799 -0.720528357   0.788812992  S             0.30187942    1            
1              0.074729434  -0.419366197  -0.3877349663 -0.506208490  -0.017755993  S             0.57887119    1            
1             -0.276093362   0.357218671  -0.6005980020 -1.313379177   0.291086758  S             0.38443583    1            
0             -0.444667794   1.110178694  -0.6548861674 -0.526436367   0.191319356  S             0.69398694    1            
0              0.854840966   0.225885226  -0.6787097975 -0.942731549   0.639948056  S             0.22770956    1            
0             -0.130015735   0.225885226  -0.7719476860 -1.185228918   0.429249649  S             0.38477150    1            
0              0.027734763   1.615474466  -0.4528085181  0.238870584   0.511736546  S             0.79071394    1            
1             -0.432964605   1.615474466  -0.8569291123 -0.879574419   0.310274358  S             0.57403566    1            
1              1.057554751   1.615474466  -0.7283520673  0.335773014   0.906855023  S             0.57450800    1            
0              0.613136763   1.615474466  -0.6901654396 -1.128292513   0.742773911  S             0.22548497    1            
0              0.911264890   1.615474466  -0.4898621543  1.101688523   0.401211306  S             0.83123597    1            
1              0.068332095  -0.733076548  -0.8375789684 -0.029006044   0.443694873  S             0.71561691    1            
1              0.977663811   2.469831635  -0.5834730979 -0.778034686   0.496200829  S             0.24900317    1            
1             -0.488236401  -0.036643708  -0.8538823318 -1.081859560   0.682817100  S             0.50587976    1            
0              0.044046461  -1.587433716  -0.8208641807 -0.835875066   0.425141281  S             0.45754489    1            
0              1.390974359  -1.587433716  -0.8354474653  0.459558184   0.030550298  S             0.55934616    1            
1              0.800812254  -0.754149220  -0.8598443966 -1.205343319   0.758644384  S             0.17578156    1            
1              0.677019196   0.401743744  -0.8780668843 -0.898839671   0.396235616  S             0.28204178    1            
1              0.432192122   0.401743744  -0.8662933771 -0.203349430   0.713903750  S             0.56234474    1            
1              0.657645264   0.401743744  -0.7487874301 -0.679185204  -0.493824534  S             0.38190397    1            
1              0.387228834   0.005225725  -0.9341949960 -0.889970770   0.867891465  S             0.33681902    1            
1              0.362306499  -1.138078818  -0.7324660967  0.508019152  -0.994989623  S             0.82607304    1            
0              0.985122320  -1.259720903  -0.6645607676  1.040841948   1.109783037  S             0.79076779    1            
0             -0.684098061   1.562361676  -0.5404126786  1.105828831  -0.602315878  S             0.96948722    1            
1              1.545147198   0.165702227  -1.0240989918  0.213941782   1.516065116  S             0.38221340    1            
1              0.457084137   1.183157047  -0.6313716594 -0.383975379   0.408007865  S             0.50407867    1            
1              1.251930773   1.183157047  -0.5399277753 -0.567048945  -0.204894686  S             0.26780706    1            
1             -0.384453977  -0.719039596  -0.8067830210 -0.396791552   0.393035147  S             0.71210217    1            
1             -0.281035383   0.234266010  -0.9677469842  0.517467541   0.137443944  S             0.89108648    1            
0              0.903230317  -0.449302497  -0.5423852694 -0.328343299   1.177606611  S             0.37856647    1            
0              0.473001687  -0.449302497  -0.6254061979 -0.683071404   0.037022245  S             0.41002744    1            
0             -0.136928499  -0.449302497  -0.8051711957 -1.031328756   0.671440472  S             0.42986482    1            
0              0.245729396  -0.345042780  -0.4537289886  0.230238706   0.424279031  S             0.74936852    1            
0             -0.006404591  -0.265339106  -0.5287855451  1.559920881  -0.943254620  S             0.96800576    1            
1             -1.593672331  -0.002844660  -0.5433247615  0.592261979  -1.433737953  S             0.97898054    1            
1              0.042894334   0.826370155  -0.9024565057 -0.529546092   0.673667105  S             0.55515961    1            
0              0.231630995   0.826370155  -1.0006461956 -1.143420389   0.677892131  S             0.30248067    1            
0              0.594520810   0.826370155  -0.5431699678 -0.772109761   0.671039779  S             0.32992009    1            
1              0.146737397  -0.916867495  -0.9192536339  0.400955992   0.007878194  S             0.81732221    1            
0              0.095831557  -1.321111011  -0.5970612529 -0.550635869   0.459793589  S             0.54133647    1            
0             -0.479716722  -1.321111011  -0.7297807754 -0.225881741   0.223126238  S             0.78071867    1            
0             -0.757409747   0.151630786  -0.8285767993 -0.639943251   0.605676153  S             0.71877091    1            
1              0.999645189   0.151630786  -0.7786196141 -0.537481693   0.618985236  S             0.30776265    1            
0              0.603313361  -0.858443426  -0.9244089981 -0.921762897  -0.055771076  S             0.30520289    1            
1              0.493891576  -0.595293693  -0.6065260533 -1.167961591   0.622277003  S             0.24163185    1            
0              0.085977835  -0.511589315  -0.8344495662  0.249387168  -0.195628034  S             0.79929266    1            
0             -0.734245922  -1.155392208  -0.8180641582 -1.468420464   0.729738719  S             0.43633647    1            
0              0.087220920  -0.595293693  -0.9204778470 -0.290776059   0.822582761  S             0.61884496    1            
0             -0.180860936  -0.595293693  -0.6868994254 -0.512142341   0.624133376  S             0.62090981    1            
0              0.783742577  -1.357255299  -0.9240533301  0.914235484   0.479265224  S             0.81150543    1            
1             -0.362654514  -0.001947951  -0.9760583519 -1.388731683   0.709734518  S             0.36771950    1            
1             -0.954393215  -0.892759807  -0.7652297268 -1.023375305   0.317557835  S             0.65883637    1            
0              0.413818721  -0.892759807  -0.9736621723  0.965668631   0.279872436  S             0.87626429    1            
0             -0.045000860  -0.311726575  -0.4064324121 -0.399401605   0.492467794  S             0.62780000    1            
0              0.903624466  -0.376358633  -0.5700199913  0.833995741   0.742327570  S             0.76529068    1            
1              0.810938848   1.624027695  -0.9342987220 -1.085305885   0.664446102  S             0.20168629    1            
1             -0.815076756   1.624027695  -0.8177270978 -1.357273606   0.309472973  S             0.51130199    1            
0              0.926636695  -0.394879132  -0.7329321609  1.126961065   0.901417776  S             0.82373190    1            
0              1.296863742   0.570428586  -0.7527840879 -0.641051226   0.774570650  S             0.21477767    1            
0              0.878944684   0.570428586  -0.8437978079 -0.599558898   0.871061502  S             0.30938910    1            
0             -0.081505107  -0.068890760  -0.9472464755 -0.090856426   0.672698342  S             0.72419729    1            
0              0.046926780  -1.571810278  -0.9441300194 -0.517822466  -0.173305902  S             0.58759396    1            
0              0.084189006   0.104691496  -0.6030508376 -0.677133729   0.740684223  S             0.49060126    1            
1             -0.469711405   0.104691496  -0.5230996167 -0.186001906  -0.939075243  S             0.81456157    1            
1             -0.050913092  -0.319486561  -0.8804149054 -0.849053467   0.477809543  S             0.47653526    1            
0              1.484417956   0.104691496  -0.7913551838 -0.513696566   0.546145395  S             0.21610856    1            
1              0.375859155   1.045719081  -0.4400049491  0.733946543  -0.123528714  S             0.84986933    1            
0              0.857478731   1.045719081  -0.8234432124  0.617416583  -0.242985850  S             0.74471632    1            
1              0.506201148   0.828922328  -0.7903893220  0.953684013  -0.086710637  S             0.86917390    1            
0             -0.324027926   0.828922328  -0.6079138524 -0.657102202   0.567945105  S             0.61154889    1            
0             -1.969144589  -1.076723198  -0.4983385871 -1.290932801  -1.617422574  S             0.83925985    1            
0             -0.215667312   0.182084419  -0.7443878894 -1.335126854   1.221099518  S             0.33218442    1            
0             -0.392155039   0.182084419  -0.8843027202 -1.344235455   0.690617927  S             0.39038280    1            
0              1.348194050   0.182084419  -0.9624761561 -0.778065286   0.795797217  S             0.17579821    1            
1             -0.150511475   0.287068401  -0.8534541277  1.188213855  -0.888065545  S             0.95434916    1            
0              0.813394698   0.422023173  -0.7100283576  0.913309987   0.862220903  S             0.79772772    1            
0              1.370084470   0.065374235  -0.9518659325  0.953137930  -0.016178583  S             0.72189070    1            
1              0.215622488   1.572673835  -0.4874206460 -1.050447382   0.713026284  S             0.33313624    1            
1              0.489859130   1.572673835  -0.4878165021 -0.180510098   0.949932021  S             0.54657353    1            
0              0.097923577   1.572673835  -0.5401710780  0.171067227   0.396484147  S             0.76420711    1            
